account_id,customer_id,account_type,account_number,ifsc_routing_code,currency,current_balance,available_balance,credit_limit,interest_rate_pct,account_status,opened_date,last_transaction_date,overdraft_allowed,joint_account,bank_name,branch_code
ACC0000011,CUST006061,CREDIT,4965928843,BANK5535,USD,30754.53,29239.44,98493.33,,ACTIVE,2022-06-30,2023-12-23,True,False,Axis Bank,BR598
ACC0000012,CUST009608,SAVINGS,2118263520,BANK5780,USD,7939.62,7692.41,,4.23,ACTIVE,2024-03-19,2024-10-13,True,False,Axis Bank,BR631
ACC0000013,CUST000891,FIXED_DEPOSIT,1716373264,BANK1161,INR,20333.46,17368.35,,1.92,ACTIVE,2022-02-01,2024-10-26,True,False,Axis Bank,BR329
ACC0000014,CUST003453,CHECKING,2778241980,BANK8197,USD,5780.39,5777.66,,,CLOSED,2025-10-21,2025-11-08,False,False,ICICI Bank,BR337
ACC0000015,CUST001498,INVESTMENT,1302332087,BANK8566,GBP,18022.21,16251.79,,,CLOSED,2014-07-26,2022-07-06,False,False,ICICI Bank,BR680
ACC0000016,CUST005135,CREDIT,3877453138,BANK3461,USD,0.0,0.0,0.0,,ACTIVE,2016-07-25,2016-11-03,True,False,Axis Bank,BR111
ACC0000017,CUST007722,FIXED_DEPOSIT,2236347395,BANK6190,USD,13682.67,12488.55,,2.53,ACTIVE,2023-08-24,2025-07-01,False,False,HDFC Bank,BR329
ACC0000018,CUST006161,CHECKING,6400669824,BANK6646,EUR,1629.55,1584.94,,,ACTIVE,2023-02-22,2023-04-20,False,False,Wells Fargo,BR597
ACC0000019,CUST004815,FIXED_DEPOSIT,4694552393,BANK6033,INR,0.0,0.0,,0.67,ACTIVE,2014-09-14,2016-05-26,False,True,HDFC Bank,BR509
ACC0000020,CUST007908,CHECKING,5838164481,BANK1468,USD,0.0,0.0,,,ACTIVE,2022-06-18,2023-08-17,True,False,Chase,BR505
ACC0000021,CUST003415,CREDIT,8331851162,BANK7924,USD,0.0,0.0,0.0,,ACTIVE,2024-10-22,2025-12-17,False,False,Chase,BR961
ACC0000022,CUST005562,CHECKING,8710920378,BANK6918,USD,0.0,0.0,,,ACTIVE,2018-08-05,2020-05-06,False,False,Wells Fargo,BR424
ACC0000023,CUST001612,FIXED_DEPOSIT,6722977687,BANK5094,USD,0.0,0.0,,2.5,ACTIVE,2012-09-05,2025-12-15,True,False,Chase,BR490
ACC0000024,CUST001886,CHECKING,7508460322,BANK3450,EUR,22878.41,22206.37,,,ACTIVE,2020-10-05,2025-05-26,True,True,ICICI Bank,BR553
ACC0000025,CUST005544,CREDIT,9794073558,BANK7467,USD,0.0,0.0,0.0,,ACTIVE,2024-04-07,2025-05-24,True,False,HDFC Bank,BR227
ACC0000026,CUST007016,INVESTMENT,6750085681,BANK2335,USD,4308.22,3707.56,,,ACTIVE,2024-03-10,2026-03-29,False,False,Citibank,BR450
ACC0000027,CUST008132,CREDIT,2623934794,BANK4389,USD,0.0,0.0,0.0,,DORMANT,2018-03-09,2025-02-19,False,False,ICICI Bank,BR358
ACC0000028,CUST006966,CHECKING,5374694238,BANK7718,GBP,51874.22,46289.7,,,FROZEN,2017-11-28,2020-09-14,True,False,Citibank,BR586
ACC0000029,CUST001942,SAVINGS,8096321472,BANK2547,GBP,17405.72,16343.56,,2.37,ACTIVE,2025-09-25,2025-11-10,False,False,Citibank,BR237
ACC0000030,CUST010000,INVESTMENT,3121974512,BANK3005,INR,0.0,0.0,,,ACTIVE,2016-10-14,2022-01-10,False,False,HDFC Bank,BR603
ACC0000031,CUST003961,CHECKING,2581001594,BANK1864,USD,0.0,0.0,,,ACTIVE,2021-04-29,2025-08-12,True,False,Axis Bank,BR999
ACC0000032,CUST003767,INVESTMENT,5396821576,BANK3813,EUR,28581.61,28524.85,,,ACTIVE,2010-08-13,2017-09-28,True,False,Citibank,BR786
ACC0000033,CUST005954,SAVINGS,6363139248,BANK1425,USD,19270.85,17191.3,,2.83,ACTIVE,2019-01-22,2026-02-01,True,False,HDFC Bank,BR587
ACC0000034,CUST005302,CREDIT,7172994845,BANK1667,USD,19477.72,19108.26,71086.69,,ACTIVE,2015-08-26,2020-02-04,True,True,Bank of America,BR439
ACC0000035,CUST006319,INVESTMENT,3236726939,BANK1685,USD,12261.0,10809.24,,,ACTIVE,2023-01-24,2023-05-08,False,False,Citibank,BR508
ACC0000036,CUST009177,INVESTMENT,9876069528,BANK5662,USD,31734.3,29607.18,,,ACTIVE,2022-10-06,2023-04-25,True,False,Citibank,BR189
ACC0000037,CUST000102,FIXED_DEPOSIT,7695307138,BANK9726,USD,20270.84,18637.61,,2.18,ACTIVE,2015-11-24,2016-08-31,True,True,HDFC Bank,BR953
ACC0000038,CUST009732,CHECKING,7577143426,BANK9518,INR,20678.38,19896.94,,,ACTIVE,2017-10-08,2023-06-11,False,False,Wells Fargo,BR963
ACC0000039,CUST001212,CHECKING,7761788799,BANK8405,INR,0.0,0.0,,,ACTIVE,2019-01-28,2020-12-29,True,False,Chase,BR202
ACC0000040,CUST002122,CREDIT,9435682378,BANK9270,USD,24814.54,24435.95,79429.65,,ACTIVE,2024-12-20,2026-01-08,False,False,HDFC Bank,BR405
ACC0000041,CUST008804,CHECKING,1595596908,BANK1549,USD,45589.72,41266.7,,,DORMANT,2019-10-09,2024-08-16,False,False,Axis Bank,BR993
ACC0000042,CUST002726,CREDIT,3127764811,BANK9281,INR,8063.1,7681.94,29199.31,,FROZEN,2025-02-13,2026-03-05,True,False,Wells Fargo,BR209
ACC0000043,CUST000206,CHECKING,1202155779,BANK9892,EUR,0.0,0.0,,,ACTIVE,2017-12-02,2019-10-26,False,True,Citibank,BR670
ACC0000044,CUST005401,CHECKING,5059228473,BANK6519,USD,0.0,0.0,,,ACTIVE,2021-11-24,2022-02-03,True,False,ICICI Bank,BR615
ACC0000045,CUST007526,SAVINGS,5818490621,BANK7968,USD,0.0,0.0,,4.08,ACTIVE,2022-01-15,2023-12-20,False,False,ICICI Bank,BR123
ACC0000046,CUST008248,CHECKING,1895278385,BANK3080,USD,18030.34,17789.93,,,ACTIVE,2018-07-13,2018-12-15,True,False,ICICI Bank,BR841
ACC0000047,CUST001307,FIXED_DEPOSIT,7663024889,BANK9756,USD,0.0,0.0,,3.22,ACTIVE,2013-07-25,2024-10-05,False,False,ICICI Bank,BR495
ACC0000048,CUST008066,CHECKING,3078570572,BANK2722,EUR,22829.07,21982.11,,,ACTIVE,2024-08-25,2025-04-10,False,False,Citibank,BR894
ACC0000049,CUST001795,INVESTMENT,4900261878,BANK2840,USD,17461.46,17390.24,,,FROZEN,2020-11-30,2025-03-02,False,True,Citibank,BR603
ACC0000050,CUST000475,CHECKING,6041161912,BANK3307,INR,0.0,0.0,,,ACTIVE,2024-03-26,2025-05-27,False,False,Wells Fargo,BR887
ACC0000051,CUST004398,FIXED_DEPOSIT,4711404644,BANK2156,USD,22959.26,20794.88,,3.7,ACTIVE,2025-03-21,2025-06-21,True,True,ICICI Bank,BR122
ACC0000052,CUST003590,FIXED_DEPOSIT,8503160429,BANK8033,GBP,46065.32,40448.62,,4.27,DORMANT,2019-04-03,2021-03-07,False,False,Axis Bank,BR984
ACC0000053,CUST000498,CHECKING,4450180082,BANK9597,USD,0.0,0.0,,,ACTIVE,2021-01-07,2023-03-15,True,False,HDFC Bank,BR694
ACC0000054,CUST003362,FIXED_DEPOSIT,9007302193,BANK9108,USD,11308.55,10002.58,,1.87,ACTIVE,2025-04-16,2025-05-30,True,False,Bank of America,BR724
ACC0000055,CUST002672,INVESTMENT,8379291317,BANK5583,INR,0.0,0.0,,,ACTIVE,2021-02-04,2022-03-28,True,False,Chase,BR540
ACC0000056,CUST008848,INVESTMENT,9890474398,BANK8511,INR,0.0,0.0,,,ACTIVE,2025-01-14,2025-12-30,True,False,Wells Fargo,BR181
ACC0000057,CUST001096,FIXED_DEPOSIT,5204538492,BANK5648,USD,0.0,0.0,,0.88,ACTIVE,2025-10-08,2025-12-25,False,False,Bank of America,BR535
ACC0000058,CUST008261,CREDIT,3815875880,BANK1418,USD,0.0,0.0,0.0,,DORMANT,2019-11-23,2025-06-27,False,True,Bank of America,BR418
ACC0000059,CUST002380,INVESTMENT,3033225662,BANK7620,USD,7878.81,7749.84,,,ACTIVE,2025-10-12,2025-12-29,False,False,HDFC Bank,BR914
ACC0000060,CUST007362,INVESTMENT,3994467886,BANK4157,INR,16675.97,14508.53,,,FROZEN,2020-10-10,2022-06-22,True,False,Wells Fargo,BR607
ACC0000061,CUST007330,CHECKING,7132967613,BANK1819,INR,14054.49,12965.93,,,ACTIVE,2019-09-19,2023-01-15,False,False,ICICI Bank,BR647
ACC0000062,CUST008005,INVESTMENT,7334423772,BANK1016,USD,0.0,0.0,,,ACTIVE,2021-04-26,2022-02-27,False,False,ICICI Bank,BR897
ACC0000063,CUST002359,FIXED_DEPOSIT,6745238810,BANK6910,GBP,14108.92,13313.98,,4.42,DORMANT,2023-04-19,2024-04-07,True,False,Bank of America,BR883
ACC0000064,CUST009936,FIXED_DEPOSIT,1134327156,BANK4268,EUR,11550.79,11043.14,,1.58,CLOSED,2017-04-13,2021-01-08,False,True,Bank of America,BR323
ACC0000065,CUST002680,SAVINGS,9541236716,BANK4546,USD,0.0,0.0,,1.99,ACTIVE,2019-07-28,2024-04-21,True,False,Wells Fargo,BR377
ACC0000066,CUST008748,FIXED_DEPOSIT,8554428618,BANK3208,USD,0.0,0.0,,3.35,ACTIVE,2019-10-29,2025-10-30,False,True,Chase,BR595
ACC0000067,CUST007705,CREDIT,6416008200,BANK5087,USD,3244.91,3210.5,5990.48,,FROZEN,2024-12-29,2026-03-05,False,False,Wells Fargo,BR232
ACC0000068,CUST007164,SAVINGS,6144644479,BANK4062,USD,34449.99,31959.32,,3.59,ACTIVE,2019-01-07,2019-06-12,True,True,ICICI Bank,BR383
ACC0000069,CUST000387,FIXED_DEPOSIT,3908108821,BANK1674,GBP,21220.17,20665.14,,2.98,FROZEN,2018-03-25,2020-02-02,False,True,ICICI Bank,BR832
ACC0000070,CUST009469,CHECKING,7757279541,BANK1574,EUR,18203.26,15692.04,,,ACTIVE,2023-06-17,2026-01-05,False,False,Wells Fargo,BR538
ACC0000071,CUST000681,INVESTMENT,3560042684,BANK7736,USD,0.0,0.0,,,FROZEN,2022-09-08,2024-03-06,False,True,Axis Bank,BR915
ACC0000072,CUST004903,CREDIT,3949882585,BANK9550,USD,7032.53,6962.09,13468.16,,ACTIVE,2022-02-05,2025-09-20,True,False,ICICI Bank,BR533
ACC0000073,CUST008518,SAVINGS,1462123096,BANK2033,GBP,9198.47,9161.77,,1.31,ACTIVE,2014-11-11,2022-02-27,False,True,Citibank,BR756
ACC0000074,CUST005567,SAVINGS,8868735570,BANK4454,USD,27270.39,24674.51,,0.83,ACTIVE,2011-03-26,2017-08-10,False,False,ICICI Bank,BR636
ACC0000075,CUST006820,SAVINGS,3683490537,BANK3535,USD,40495.21,38500.65,,2.4,ACTIVE,2025-05-07,2025-11-17,True,False,Axis Bank,BR193
ACC0000076,CUST000049,FIXED_DEPOSIT,4209273401,BANK3577,USD,8052.27,7257.05,,1.0,ACTIVE,2024-01-20,2026-02-23,False,False,Wells Fargo,BR978
ACC0000077,CUST001232,SAVINGS,5832317944,BANK9538,GBP,4699.04,4443.11,,0.65,FROZEN,2020-03-30,2025-09-01,False,False,HDFC Bank,BR462
ACC0000078,CUST008096,INVESTMENT,9167419801,BANK6416,USD,0.0,0.0,,,DORMANT,2008-05-07,2016-03-02,True,False,Axis Bank,BR174
ACC0000079,CUST003248,FIXED_DEPOSIT,5956242398,BANK3502,GBP,0.0,0.0,,3.05,ACTIVE,2020-08-05,2022-09-21,True,False,Chase,BR707
ACC0000080,CUST002961,FIXED_DEPOSIT,7876324804,BANK6824,USD,13593.64,12906.61,,2.35,ACTIVE,2020-01-04,2020-03-18,True,False,Wells Fargo,BR853
ACC0000081,CUST005339,SAVINGS,7923054276,BANK3388,EUR,0.0,0.0,,2.56,FROZEN,2024-11-06,2025-12-06,True,False,Citibank,BR477
ACC0000082,CUST003013,CREDIT,1773744568,BANK4692,USD,39390.83,34183.44,127765.01,,ACTIVE,2017-03-19,2021-05-09,True,False,Bank of America,BR131
ACC0000083,CUST001512,SAVINGS,5799994763,BANK8911,INR,34037.16,33515.61,,2.1,ACTIVE,2025-08-29,2025-12-16,False,False,Wells Fargo,BR259
ACC0000084,CUST006312,INVESTMENT,6634880542,BANK9352,GBP,13737.43,11896.21,,,ACTIVE,2017-05-22,2024-04-28,False,False,Axis Bank,BR289
ACC0000085,CUST005314,FIXED_DEPOSIT,4365387419,BANK2629,USD,14049.7,13938.4,,3.48,FROZEN,2023-04-23,2025-10-03,False,False,Citibank,BR770
ACC0000086,CUST006941,CHECKING,2053194156,BANK5770,USD,24624.87,23435.13,,,FROZEN,2015-06-10,2023-11-17,False,False,Chase,BR556
ACC0000087,CUST007181,CREDIT,2559278880,BANK3180,USD,0.0,0.0,0.0,,ACTIVE,2009-04-26,2012-11-07,True,False,Citibank,BR627
ACC0000088,CUST003909,CHECKING,6117841062,BANK1904,USD,49494.28,49267.09,,,ACTIVE,2017-10-10,2024-10-24,True,False,Bank of America,BR321
ACC0000089,CUST002586,SAVINGS,3235489604,BANK4124,EUR,7793.44,7425.76,,3.99,ACTIVE,2025-10-16,2026-02-14,True,False,Wells Fargo,BR164
ACC0000090,CUST004613,CREDIT,9446673318,BANK7349,GBP,3397.35,3062.85,9247.29,,ACTIVE,2020-10-10,2021-12-23,False,False,Chase,BR348
ACC0000091,CUST009469,CREDIT,6918591406,BANK5466,USD,7429.57,7275.73,14800.52,,ACTIVE,2025-03-18,2025-12-16,False,False,Wells Fargo,BR802
ACC0000092,CUST002955,FIXED_DEPOSIT,7033351467,BANK3974,GBP,7526.34,7356.77,,3.62,FROZEN,2025-02-28,2025-12-25,False,False,Bank of America,BR115
ACC0000093,CUST001464,SAVINGS,1797487115,BANK3061,USD,900.03,864.0,,0.5,ACTIVE,2025-05-02,2025-10-19,False,True,Citibank,BR936
ACC0000094,CUST007696,CREDIT,9204001130,BANK4991,USD,30827.86,29057.02,59917.3,,ACTIVE,2016-11-27,2024-09-27,False,False,Bank of America,BR463
ACC0000095,CUST009792,FIXED_DEPOSIT,5521442114,BANK4741,EUR,9854.96,9370.74,,1.36,CLOSED,2024-05-09,2025-09-30,False,False,Axis Bank,BR419
ACC0000096,CUST000861,FIXED_DEPOSIT,5556044253,BANK6190,INR,0.0,0.0,,4.36,ACTIVE,2013-04-13,2026-02-07,False,True,Wells Fargo,BR440
ACC0000097,CUST006517,FIXED_DEPOSIT,2259927930,BANK5160,USD,13936.44,13802.67,,1.91,DORMANT,2014-03-01,2014-05-14,False,True,Citibank,BR339
ACC0000098,CUST005949,INVESTMENT,8094230046,BANK3074,INR,0.0,0.0,,,FROZEN,2021-01-01,2021-04-12,True,False,Bank of America,BR126
ACC0000099,CUST002243,INVESTMENT,8023949210,BANK8769,USD,10135.92,9934.89,,,ACTIVE,2022-06-13,2025-06-03,False,False,Wells Fargo,BR364
ACC0000100,CUST000369,FIXED_DEPOSIT,9773407922,BANK9255,GBP,0.0,0.0,,4.33,ACTIVE,2022-11-29,2025-03-16,True,False,ICICI Bank,BR374
ACC0000101,CUST003578,INVESTMENT,2916617248,BANK8460,USD,13188.04,11774.84,,,ACTIVE,2025-08-17,2026-02-13,True,True,Chase,BR219
ACC0000102,CUST005580,CHECKING,8825370424,BANK4856,USD,0.0,0.0,,,ACTIVE,2017-08-16,2023-09-10,False,True,Wells Fargo,BR364
ACC0000103,CUST003657,FIXED_DEPOSIT,8974210929,BANK3189,USD,2678.37,2484.26,,1.3,DORMANT,2015-10-27,2024-10-30,True,True,Chase,BR622
ACC0000104,CUST004785,CREDIT,8293931054,BANK9248,USD,3429.68,3367.45,6155.57,,ACTIVE,2024-05-02,2025-01-22,False,False,Wells Fargo,BR834
ACC0000105,CUST007974,CHECKING,2911319492,BANK3388,USD,17691.18,16893.27,,,ACTIVE,2024-10-16,2026-04-20,False,False,Bank of America,BR443
ACC0000106,CUST005405,CHECKING,7040653710,BANK6283,USD,30526.23,28894.86,,,ACTIVE,2020-09-26,2020-09-26,False,True,Citibank,BR689
ACC0000107,CUST006965,CHECKING,8969219370,BANK8233,EUR,29836.4,28743.29,,,ACTIVE,2020-10-21,2022-09-30,True,False,Citibank,BR905
ACC0000108,CUST006442,FIXED_DEPOSIT,7371400264,BANK8888,GBP,17688.13,17454.71,,2.98,CLOSED,2022-11-22,2025-01-18,False,False,Citibank,BR936
ACC0000109,CUST005661,FIXED_DEPOSIT,1074069556,BANK9353,USD,0.0,0.0,,2.5,ACTIVE,2020-02-14,2022-09-12,False,True,Wells Fargo,BR739
ACC0000110,CUST001857,INVESTMENT,1586237257,BANK2204,INR,41987.23,36622.16,,,ACTIVE,2024-10-15,2025-08-27,False,False,ICICI Bank,BR946
ACC0000111,CUST003811,SAVINGS,4937096727,BANK2589,USD,0.0,0.0,,1.12,CLOSED,2017-01-27,2019-12-24,True,False,HDFC Bank,BR607
ACC0000112,CUST003363,FIXED_DEPOSIT,9573629390,BANK1449,USD,12349.15,12177.47,,2.17,DORMANT,2014-05-21,2023-01-21,False,False,Citibank,BR795
ACC0000113,CUST007232,FIXED_DEPOSIT,7330442403,BANK1965,USD,20079.66,19832.66,,1.31,ACTIVE,2024-08-09,2025-10-07,True,True,Wells Fargo,BR423
ACC0000114,CUST003272,CHECKING,6127942197,BANK1873,USD,2016.19,1777.81,,,CLOSED,2014-02-19,2018-08-20,True,False,Bank of America,BR506
ACC0000115,CUST000690,CHECKING,7102060390,BANK8070,EUR,0.0,0.0,,,DORMANT,2025-09-09,2026-01-02,False,True,Wells Fargo,BR866
ACC0000116,CUST005299,CHECKING,3672902107,BANK6943,INR,0.0,0.0,,,ACTIVE,2024-04-24,2024-12-01,False,False,Bank of America,BR723
ACC0000117,CUST009939,CREDIT,1512307971,BANK4461,USD,0.0,0.0,0.0,,ACTIVE,2010-06-24,2019-12-18,True,False,ICICI Bank,BR959
ACC0000118,CUST002784,INVESTMENT,4751318244,BANK1646,INR,23976.59,23835.56,,,ACTIVE,2013-12-15,2017-08-01,True,True,Chase,BR379
ACC0000119,CUST002209,INVESTMENT,7420017446,BANK7997,USD,20743.17,18339.98,,,ACTIVE,2023-03-16,2024-12-31,False,False,Wells Fargo,BR690
ACC0000120,CUST005668,SAVINGS,6579709237,BANK6265,USD,23969.74,23226.37,,1.71,ACTIVE,2019-10-07,2025-12-25,True,False,Citibank,BR902
ACC0000121,CUST002063,INVESTMENT,6490434700,BANK9456,GBP,0.0,0.0,,,ACTIVE,2025-11-08,2025-12-26,False,False,Wells Fargo,BR844
ACC0000122,CUST008979,CHECKING,9092488612,BANK5250,USD,31177.18,29040.89,,,CLOSED,2025-05-21,2025-07-14,True,False,Wells Fargo,BR987
ACC0000123,CUST000535,CREDIT,9515386460,BANK7515,GBP,19308.71,17086.01,65695.35,,ACTIVE,2023-01-19,2025-01-20,True,False,Chase,BR747
ACC0000124,CUST002322,FIXED_DEPOSIT,7250919533,BANK9109,GBP,0.0,0.0,,4.04,ACTIVE,2020-01-01,2021-08-07,True,False,Wells Fargo,BR800
ACC0000125,CUST003816,INVESTMENT,5286528104,BANK1739,USD,38906.43,35832.73,,,ACTIVE,2025-04-05,2026-03-12,True,True,Chase,BR254
ACC0000126,CUST007740,CHECKING,8961504009,BANK4811,USD,19522.51,18104.48,,,FROZEN,2014-01-29,2016-04-22,True,False,Chase,BR949
ACC0000127,CUST005007,CHECKING,2713415832,BANK3122,GBP,22531.3,20201.1,,,ACTIVE,2019-01-05,2020-03-30,True,True,HDFC Bank,BR991
ACC0000128,CUST001040,CREDIT,3433260004,BANK5034,USD,0.0,0.0,0.0,,ACTIVE,2023-07-13,2025-05-29,False,False,ICICI Bank,BR404
ACC0000129,CUST004209,SAVINGS,1522908299,BANK7043,USD,25558.91,24369.68,,0.91,ACTIVE,2020-12-15,2021-08-03,True,False,Chase,BR152
ACC0000130,CUST008083,FIXED_DEPOSIT,6843482244,BANK6819,USD,0.0,0.0,,1.05,ACTIVE,2022-11-06,2023-03-02,False,False,Wells Fargo,BR931
ACC0000131,CUST006218,CREDIT,6287261781,BANK4809,EUR,42138.61,41975.44,141786.55,,ACTIVE,2024-07-08,2025-03-10,True,True,ICICI Bank,BR880
ACC0000132,CUST005506,CHECKING,1893036570,BANK8148,USD,32865.44,30822.41,,,ACTIVE,2022-06-01,2026-02-15,True,False,HDFC Bank,BR314
ACC0000133,CUST006549,CHECKING,7556662303,BANK5808,GBP,0.0,0.0,,,DORMANT,2025-03-18,2025-04-14,False,True,HDFC Bank,BR965
ACC0000134,CUST008070,FIXED_DEPOSIT,1476426226,BANK7507,USD,44325.82,42777.36,,1.53,FROZEN,2021-08-14,2024-04-07,False,False,Citibank,BR926
ACC0000135,CUST003456,INVESTMENT,4049484935,BANK8157,USD,16404.49,15190.0,,,ACTIVE,2022-04-11,2022-12-17,True,False,Wells Fargo,BR949
ACC0000136,CUST005280,INVESTMENT,5631906065,BANK1111,USD,19704.77,18957.02,,,ACTIVE,2023-06-10,2023-06-27,True,True,Axis Bank,BR866
ACC0000137,CUST005156,SAVINGS,5155835278,BANK4209,GBP,41476.41,39784.79,,2.87,ACTIVE,2025-02-20,2026-03-18,True,False,Axis Bank,BR236
ACC0000138,CUST007252,CHECKING,8468297363,BANK1875,USD,3159.68,3056.59,,,ACTIVE,2014-12-17,2019-04-05,False,True,Axis Bank,BR246
ACC0000139,CUST009527,CHECKING,4905638141,BANK9516,USD,16453.63,14402.35,,,ACTIVE,2022-07-14,2023-06-19,False,False,Citibank,BR292
ACC0000140,CUST005595,CREDIT,6745646150,BANK8586,INR,28223.56,27058.78,96850.53,,ACTIVE,2018-05-16,2022-04-12,False,False,Axis Bank,BR206
ACC0000141,CUST009442,SAVINGS,3842802428,BANK6586,EUR,14367.96,12433.7,,3.78,DORMANT,2016-11-24,2022-03-03,True,True,Axis Bank,BR375
ACC0000142,CUST001353,FIXED_DEPOSIT,6097215799,BANK8588,INR,15323.79,15155.91,,1.78,ACTIVE,2019-03-01,2020-08-30,False,False,Bank of America,BR455
ACC0000143,CUST009627,CREDIT,4678313955,BANK4146,USD,36605.44,32269.82,95216.12,,DORMANT,2018-10-08,2022-05-29,True,False,Bank of America,BR397
ACC0000144,CUST003343,CHECKING,2354201668,BANK5416,INR,0.0,0.0,,,ACTIVE,2021-01-27,2022-01-29,False,True,HDFC Bank,BR848
ACC0000145,CUST003431,CHECKING,6718495686,BANK9582,INR,16195.53,14018.41,,,ACTIVE,2025-10-10,2025-12-02,False,False,Citibank,BR914
ACC0000146,CUST007706,CREDIT,1884499904,BANK1755,USD,5490.53,4758.2,10811.97,,ACTIVE,2024-05-12,2026-04-22,True,False,Wells Fargo,BR714
ACC0000147,CUST008088,SAVINGS,6353656766,BANK5457,USD,28154.67,27512.81,,0.51,ACTIVE,2015-10-04,2026-02-10,True,False,HDFC Bank,BR865
ACC0000148,CUST007815,CHECKING,7487066378,BANK3799,USD,0.0,0.0,,,DORMANT,2025-11-18,2025-11-30,True,False,ICICI Bank,BR840
ACC0000149,CUST004184,SAVINGS,5391771067,BANK4537,GBP,28969.33,27876.15,,3.45,FROZEN,2022-11-22,2025-10-10,False,True,Axis Bank,BR805
ACC0000150,CUST006427,CHECKING,8501423556,BANK9983,USD,10729.91,9500.24,,,DORMANT,2023-02-03,2025-06-29,True,True,ICICI Bank,BR368
ACC0000151,CUST008625,FIXED_DEPOSIT,9767384606,BANK1868,EUR,30176.49,26799.25,,1.73,ACTIVE,2022-10-01,2023-11-19,False,False,Bank of America,BR821
ACC0000152,CUST003778,FIXED_DEPOSIT,6479918320,BANK7094,USD,28478.48,25706.02,,4.46,ACTIVE,2019-12-23,2020-05-21,False,False,Wells Fargo,BR111
ACC0000153,CUST004535,CHECKING,3095297677,BANK3562,EUR,24206.48,23011.53,,,ACTIVE,2021-10-13,2025-07-20,True,False,Wells Fargo,BR611
ACC0000154,CUST000404,SAVINGS,9204401319,BANK7791,USD,8209.58,7385.3,,2.21,ACTIVE,2025-02-03,2025-09-04,True,False,Axis Bank,BR918
ACC0000155,CUST008958,CREDIT,8407331831,BANK3740,GBP,46457.15,40827.46,182049.93,,ACTIVE,2024-06-09,2024-09-22,True,False,Citibank,BR189
ACC0000156,CUST000350,FIXED_DEPOSIT,5483067909,BANK9598,USD,24741.29,23535.1,,3.38,ACTIVE,2010-01-01,2024-02-23,False,False,Citibank,BR884
ACC0000157,CUST006921,CREDIT,9745635527,BANK8290,GBP,6310.2,5646.18,15347.78,,DORMANT,2018-10-28,2022-11-01,True,True,ICICI Bank,BR627
ACC0000158,CUST006774,SAVINGS,1379022565,BANK6475,USD,17087.11,15342.72,,2.73,ACTIVE,2021-06-11,2022-05-14,False,False,HDFC Bank,BR708
ACC0000159,CUST003894,INVESTMENT,3476291212,BANK7483,EUR,0.0,0.0,,,FROZEN,2020-04-25,2022-06-11,True,False,Wells Fargo,BR755
ACC0000160,CUST005047,FIXED_DEPOSIT,1120107200,BANK1784,USD,4335.19,3894.34,,3.68,ACTIVE,2021-11-14,2024-02-01,False,False,Citibank,BR980
ACC0000161,CUST008626,SAVINGS,1258624174,BANK1577,USD,16812.77,14881.61,,2.88,DORMANT,2023-11-22,2026-03-21,False,True,Bank of America,BR924
ACC0000162,CUST002799,INVESTMENT,6352387955,BANK6602,GBP,29354.1,26245.96,,,ACTIVE,2023-05-07,2026-01-15,False,False,HDFC Bank,BR536
ACC0000163,CUST001165,INVESTMENT,9317174628,BANK3231,GBP,0.0,0.0,,,ACTIVE,2025-08-31,2026-01-02,True,False,Chase,BR488
ACC0000164,CUST009064,FIXED_DEPOSIT,8982520380,BANK3636,USD,51396.59,47481.41,,3.34,FROZEN,2017-11-16,2025-02-20,True,False,Bank of America,BR593
